TeamId,TeamName,TeamCity,SmallLogo
0,ФК «Спартак» Москва,Москва,
1,ПФК ЦСКА Москва,Москва,
2,ФК «Зенит» Санкт-Петербург,Санкт-Петербург,
3,ФК «Рубин» Казань,Казань,
4,ФК «Локомотив» Москва,Москва,
5,ФК «Шинник» Ярославль,Ярославль,
6,ФК «Динамо» Москва,Москва,
7,ФК «Сатурн» Московская область,Московская область,
8,ФК «Торпедо Москва»,Москва,
9,ПФК «Крылья Советов» Самара,Самара,
10,ФК «Ростов» Ростов-на-Дону,Ростов-на-Дону,
11,СК «Ротор» Волгоград,Волгоград,
12,ФК «Спартак-Владикавказ»,Владикавказ,
13,ФК «Москва»,Москва,
14,ФК «Амкар» Пермь,Пермь,
15,ФК «Кубань» Краснодар,Краснодар,
16,РФК «Ахмат» Грозный,Грозный,
17,ФК «Томь» Томск,Томск,
18,ФК «Уралан» Элиста,Элиста,
19,«Черноморец»  Новороссийск,Новороссийск,
20,ФК «Содовик» Стерлитамак,Стерлитамак,
21,ФК «Химки»,Химки,
22,ПФК «Арсенал» Тула,Тула,
23,ФК «Динамо» Брянск,Брянск,
24,ФК «Металлург» Липецк,Липецк,
25,ФК «Динамо» Махачкала,Махачкала,
26,ФК «Олимпия» Волгоград,Волгоград,
27,ФК «Сокол» Саратов,Саратов,
28,ФК «Елец»,Елец,
29,ФК «КАМАЗ» Набережные Челны,Набережные Челны,
30,ФК «Иртыш» Омск,Омск,
31,ФК «СКА-Хабаровск»,Хабаровск,
32,ФК «Локомотив» Чита,Чита,
33,ФК «Торпедо» Владимир,Владимир,
34,ФК «Спартак» Кострома,Кострома,
35,«Витязь» Подольск,Подольск,
36,ФК «Спартак-Нальчик»,Нальчик,
37,ФК «Волгарь» Астрахань,Астрахань,
38,ФК «Сатурн» Егорьевск,Егорьевск,
39,ФК «Урал» Екатеринбург,Екатеринбург,
40,ФК «Лада-Тольятти» Тольятти,Тольятти,
41,ФК «Металлург-Кузбасс»,Новокузнецк,
42,ФК «Луч»,Владивосток,
43,ФК «Океан» Находка,Находка,
44,ФК «Олимпик» Марсель,Марсель,
45,ФК «Факел» Воронеж,Воронеж,
46,«Зенит-2» Санкт-Петербург,Санкт-Петербург,
47,ФК «Мордовия» Саранск,Саранск,
48,«Ангушт»,Назрань,
49,ФК «Анжи» Махачкала,Махачкала,
50,ФК «Спартак» Нижний Новгород,Нижний Новгород,
51,«Динамо» Киров,Киров,
52,ФК «Сибирь» Новосибирск,Новосибирск,
53,ФК «Чита» Чита,Чита,
54,«Металлург» Красноярск,Красноярск,
